NACE Code,NACE Name,BICS Code,BICS Level,BICS Name,NACE_code_covered_EU_taxon,NACE_name_covered_EU_taxon,mapping _sectors_2dii
7.29,Mining of other non-ferrous metal ores,17151011,4,Cobalt,43,Construction of new buildings,
7.29,Mining of other non-ferrous metal ores,1715101210,5,Copper Mining,41,Renovation of existing buildings,
7.29,Mining of other non-ferrous metal ores,17151013,4,Manganese,43,Renovation of existing buildings,
7.29,Mining of other non-ferrous metal ores,17151014,4,Molybdenum,41,"Individual renovation measures, installation of renewables on-site and professional, scientific and technical activities",
7.29,Mining of other non-ferrous metal ores,17151015,4,"Nickel, Lead & Zinc Ore",43,"Individual renovation measures, installation of renewables on-site and professional, scientific and technical activities",
7.29,Mining of other non-ferrous metal ores,1715101510,5,Lead Ore Mining,68,Acquisition of buildings,
7.29,Mining of other non-ferrous metal ores,1715101511,5,Nickel Ore Mining,,,
7.29,Mining of other non-ferrous metal ores,1715101512,5,Zinc Ore Mining,,,
7.29,Mining of other non-ferrous metal ores,17151016,4,Tin,,,
7.29,Mining of other non-ferrous metal ores,17151019,4,Other Metals,,,
7.29,Mining of other non-ferrous metal ores,171511,3,Precious Metal Mining,,,
7.29,Mining of other non-ferrous metal ores,17151110,4,Gold Mining,,,
7.29,Mining of other non-ferrous metal ores,17151111,4,Platinum Group Metals,,,
7.29,Mining of other non-ferrous metal ores,1715111110,5,Palladium,,,
7.29,Mining of other non-ferrous metal ores,1715111111,5,Platinum,,,
7.29,Mining of other non-ferrous metal ores,1715111112,5,Rhodium,,,
7.29,Mining of other non-ferrous metal ores,1715111113,5,Other Platinum Group Metals,,,
7.29,Mining of other non-ferrous metal ores,17151112,4,Silver Mining,,,
7.29,Mining of other non-ferrous metal ores,17151215,4,Rare Earth,,,
8.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk",17111218,4,Other Stone Mining,,,
8.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk",1711121811,5,Dimension Stone Mining,,,
8.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk",1711121812,5,Granite Mining,,,
8.12,Operation of gravel and sand pits; mining of clays and kaolin,1711121810,5,Crushed Limestone,,,
8.12,Operation of gravel and sand pits; mining of clays and kaolin,1711121813,5,Other Crushed Stone,,,
8.12,Operation of gravel and sand pits; mining of clays and kaolin,17151210,4,Clay Ceramic,,,
8.91,Mining of chemical and fertiliser minerals,17151211,4,Lithium,,,
8.91,Mining of chemical and fertiliser minerals,17151212,4,Phosphate Rock,,,
8.91,Mining of chemical and fertiliser minerals,17151213,4,"Potash, Soda, Borate",,,
8.91,Mining of chemical and fertiliser minerals,17151216,4,Other Chemicals & Minerals,,,
8.99,Other mining and quarrying n.e.c.,171512,3,Other Mined Minerals,,,
8.99,Other mining and quarrying n.e.c.,17151214,4,Precious Stones,,,
8.99,Other mining and quarrying n.e.c.,1715121410,5,Diamond Mining,,,
8.99,Other mining and quarrying n.e.c.,1715121411,5,Other Non-Metallic Mining,,,
9.1,Support activities for petroleum and natural gas extraction,131015,3,Oil & Gas Services & Equip,,,
9.1,Support activities for petroleum and natural gas extraction,13101510,4,Drilling & Drilling Support,,,
9.1,Support activities for petroleum and natural gas extraction,1310151010,5,Drill Support,,,
9.1,Support activities for petroleum and natural gas extraction,1310151011,5,Offshore Drilling,,,
9.1,Support activities for petroleum and natural gas extraction,1310151012,5,Onshore Drilling,,,
9.1,Support activities for petroleum and natural gas extraction,13101511,4,Oilfield Services & Equipment,,,
9.1,Support activities for petroleum and natural gas extraction,1310151110,5,Diversified Oilfield Svcs,,,
9.1,Support activities for petroleum and natural gas extraction,1310151111,5,Subsea Oilfield Services,,,
9.9,Support activities for other mining and quarrying,171513,3,Mining Services,,,
9.9,Support activities for other mining and quarrying,17151310,4,Coal Support Services,,,
9.9,Support activities for other mining and quarrying,17151311,4,Metals Support Services,,,
9.9,Support activities for other mining and quarrying,17151312,4,Non-Metallic Mining Support,,,
10,Manufacture of food products,12101014,4,"Sugar, Grain & Oilseed Mill",,,
10,Manufacture of food products,121011,3,Packaged Food,,,
10,Manufacture of food products,12101110,4,Bread & Bakery Products,,,
10,Manufacture of food products,1210111011,5,Flour Products (Non-Bread),,,
10,Manufacture of food products,12101114,4,"Frozen, Canned & Perish Food",,,
10,Manufacture of food products,1210111411,5,Dried & Dehydrated Food,,,
10,Manufacture of food products,1210111412,5,Frozen Food,,,
10.1,Processing and preserving of meat and production of meat products,12101115,4,Meat Products,,,
10.11,Processing and preserving of meat,1210101113,5,Animal Processing,,,
10.11,Processing and preserving of meat,121010111310,6,Meat Processing,,,
10.11,Processing and preserving of meat,121010111312,6,Rendering & Meat Byproducts,,,
10.11,Processing and preserving of meat,1210111511,5,Fresh Meat Products,,,
10.12,Processing and preserving of poultry meat,121010111311,6,Poultry Processing,,,
10.12,Processing and preserving of poultry meat,1210111512,5,Meat Type Chicken Products,,,
10.13,Production of meat and poultry meat products,1210111510,5,Cured & Smoked Meat,,,
10.2,"Processing and preserving of fish, crustaceans and mollusks",1210111414,5,Seafood Products Prep & Pkg,,,
10.2,"Processing and preserving of fish, crustaceans and mollusks",121011141410,6,Fresh & Frozen Seafood Process,,,
10.2,"Processing and preserving of fish, crustaceans and mollusks",121011141411,6,Seafood Canning,,,
10.32,Manufacture of fruit and vegetable juice,121011141210,6,"Frozen Fruit, Juice & Vegetable",,,
10.39,Other processing and preserving of fruit and vegetables,1210111410,5,Canned Food,,,
10.39,Other processing and preserving of fruit and vegetables,121011141010,6,Fruit & Vegetable Canning,,,
10.39,Other processing and preserving of fruit and vegetables,121011171112,6,Roast Nuts & Peanut Butter,,,
10.4,Manufacture of vegetable and animal oils and fats,121010141013,6,Palm Oil Processing,,,
10.4,Manufacture of vegetable and animal oils and fats,121010141015,6,Soybean Processing,,,
10.4,Manufacture of vegetable and animal oils and fats,121010141017,6,Other Oilseed Processing,,,
10.41,Manufacture of oils and fats,121010141010,6,Fats & Oil Refining,,,
10.42,Manufacture of margarine and similar edible fats,121010141016,6,Wet Corn Milling,,,
10.51,Operation of dairies and cheese making,12101112,4,Dairy & Egg Products,,,
10.51,Operation of dairies and cheese making,1210111210,5,Butter,,,
10.51,Operation of dairies and cheese making,1210111211,5,Cheese,,,
10.51,Operation of dairies and cheese making,1210111212,5,Dry & Condensed Dairy Products,,,
10.51,Operation of dairies and cheese making,1210111214,5,Fluid Milk,,,
10.52,Manufacture of ice cream,1210111215,5,Ice Cream,,,
10.61,Manufacture of grain mill products,1210101410,5,Grain & Oilseed Milling,,,
10.61,Manufacture of grain mill products,121010141011,6,Flour Milling,,,
10.61,Manufacture of grain mill products,121010141014,6,Rice Milling,,,
10.61,Manufacture of grain mill products,121011171110,6,Breakfast Cereal,,,
10.7,Manufacture of bakery and farinaceous products,121011101111,6,Flour Mixes & Dough,,,
10.7,Manufacture of bakery and farinaceous products,121011101113,6,Tortilla,,,
10.7,Manufacture of bakery and farinaceous products,1210111012,5,Frozen Cakes & Pastries,,,
10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,1210111010,5,Baked Goods,,,
10.72,Manufacture of rusks and biscuits; manuf of preserved pastry goods and cakes,12101117,4,Snack Food & Confectionary,,,
10.72,Manufacture of rusks and biscuits; manuf of preserved pastry goods and cakes,1210111711,5,Snack Food,,,
10.72,Manufacture of rusks and biscuits; manuf of preserved pastry goods and cakes,121011171111,6,Cookies & Crackers,,,
10.72,Manufacture of rusks and biscuits; manuf of preserved pastry goods and cakes,121011171113,6,Other Snack Food,,,
10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",121011101110,6,Dry Pasta,,,
10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",121011101112,6,Noodles,,,
10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",121011141011,6,Specialty Canning,,,
10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",121011141211,6,Frozen Specialty Food,,,
10.81,Manufacture of sugar,1210101411,5,Sugar,,,
10.81,Manufacture of sugar,121010141110,6,Beet Sugar,,,
10.81,Manufacture of sugar,121010141111,6,Cane Sugar Refining,,,
10.81,Manufacture of sugar,121010141112,6,Sugarcane Mills,,,
10.82,"Manufacture of cocoa, chocolate and sugar confectionery",1210111710,5,Confectionery,,,
10.82,"Manufacture of cocoa, chocolate and sugar confectionery",121011171010,6,Chocolate Confectionery,,,
10.82,"Manufacture of cocoa, chocolate and sugar confectionery",121011171011,6,Non-Chocolate Confection,,,
10.83,Processing of tea and coffee,1210121110,5,Coffee & Tea,,,
10.83,Processing of tea and coffee,121012111010,6,Coffee,,,
10.83,Processing of tea and coffee,121012111011,6,Tea,,,
10.84,Manufacture of condiments and seasonings,12101111,4,Condiments,,,
10.84,Manufacture of condiments and seasonings,1210111110,5,Flavoring Syrup & Concentrate,,,
10.84,Manufacture of condiments and seasonings,1210111111,5,Mayonnaise & Other Sauces,,,
10.84,Manufacture of condiments and seasonings,1210111112,5,Spice & Extract,,,
10.85,Manufacture of prepared meals and dishes,1210111413,5,Perishable Prepared Food,,,
10.89,Manufacture of other food products n.e.c.,12101113,4,Food Ingredients,,,
10.89,Manufacture of other food products n.e.c.,12101118,4,Other Food,,,
10.91,Manufacture of prepared feeds for farm animals,12101010,4,Animal Feed,,,
10.92,Manufacture of prepared pet foods,12101116,4,Pet Food,,,
11,Manufacture of beverages,121012,3,Beverages,,,
11.01,"Distilling, rectifying and blending of spirits",1210121011,5,Distillers,,,
11.02,Manufacture of wine from grape,1210121012,5,Vintners,,,
11.05,Manufacture of beer,12101210,4,Alcoholic Beverages,,,
11.05,Manufacture of beer,1210121010,5,Brewers,,,
11.06,Manufacture of malt,121010141012,6,Malt,,,
11.07,Manufacture of soft drinks;production of mineral waters and other bottled waters,12101211,4,Non-Alcoholic Beverages,,,
11.07,Manufacture of soft drinks;production of mineral waters and other bottled waters,1210121111,5,Soft Drink & Ice,,,
11.07,Manufacture of soft drinks;production of mineral waters and other bottled waters,121012111110,6,Bottled Water,,,
11.07,Manufacture of soft drinks;production of mineral waters and other bottled waters,121012111111,6,Ice,,,
11.07,Manufacture of soft drinks;production of mineral waters and other bottled waters,121012111112,6,Soft Drink,,,
12,Manufacture of tobacco products,121013,3,Tobacco,,,
12,Manufacture of tobacco products,12101311,4,Tobacco Leaf,,,
12,Manufacture of tobacco products,12101312,4,Tobacco Products,,,
12,Manufacture of tobacco products,1210131210,5,Cigar,,,
12,Manufacture of tobacco products,1210131211,5,Cigarette,,,
12,Manufacture of tobacco products,1210131212,5,Smokeless Tobacco,,,
13,Manufacture of textiles,111011,3,Textile & Textile Products,,,
13,Manufacture of textiles,11101111,4,Textile,,,
13,Manufacture of textiles,1110111111,5,Fabric,,,
13,Manufacture of textiles,1110111112,5,"Fiber, Yarn & Thread",,,
13,Manufacture of textiles,111011111210,6,Synthetic Fiber & Thread,,,
13.1,Preparation and spinning of textile fibres,111011111211,6,Thread Mills,,,
13.1,Preparation and spinning of textile fibres,111011111212,6,Yarn Spinning Mills,,,
13.1,Preparation and spinning of textile fibres,111011111213,6,"Yarn Texturizing, Throw & Twist",,,
13.2,Weaving of textiles,111011111111,6,Woven Fabric Mills,,,
13.3,Finishing of textiles,1110111110,5,Fabric Finishing,,,
13.3,Finishing of textiles,111011111010,6,Fabric Coating Mills,,,
13.3,Finishing of textiles,111011111011,6,Nonwoven Textile & Fabric Finish,,,
13.3,Finishing of textiles,111011111012,6,Woven Fabric Finishing Mills,,,
13.9,Manufacture of other textiles,111011111110,6,Nonwoven Fabric Mill,,,
13.9,Manufacture of other textiles,111011111112,6,Other Knit Fabric & Lace Mills,,,
13.9,Manufacture of other textiles,11101112,4,Textile Products,,,
13.9,Manufacture of other textiles,1110111211,5,Other Textile Products,,,
13.9,Manufacture of other textiles,111011121115,6,Other Textile Prods Mills,,,
13.92,"Manufacture of made-up textile articles, except apparel",1110111210,5,Textile Furnish,,,
13.92,"Manufacture of made-up textile articles, except apparel",111011121010,6,Curtain & Drapery Mills,,,
13.92,"Manufacture of made-up textile articles, except apparel",111011121011,6,Other Household Textile Prods,,,
13.92,"Manufacture of made-up textile articles, except apparel",111011121110,6,Canvas & Related Prods Mills,,,
13.92,"Manufacture of made-up textile articles, except apparel",111011121113,6,Textile Bag Mills,,,
13.93,Manufacture of carpets and rugs,1112111110,5,Carpets & Rugs,,,
13.94,"Manufacture of cordage, rope, twine and netting",111011121112,6,"Rope, Cordage & Twine Mills",,,
13.96,Manufacture of other technical and industrial textiles,111011121114,6,Tire Cord & Tire Fabrics Mills,,,
14,Manufacture of wearing apparel,111010,3,"Apparel, Footwear & Acc Design",,,
14,Manufacture of wearing apparel,11101014,4,Garment Outsourcing,,,
14.1,"Manufacture of wearing apparel, except fur apparel",11101010,4,Apparel Design,,,
14.1,"Manufacture of wearing apparel, except fur apparel",1110101010,5,Children's Apparel,,,
14.1,"Manufacture of wearing apparel, except fur apparel",1110101011,5,Men's Apparel,,,
14.1,"Manufacture of wearing apparel, except fur apparel",1110101012,5,Women's Apparel,,,
14.12,Manufacture of workwear,1110101713,5,Professional Uniforms,,,
14.13,Manufacture of other outerwear,1110101712,5,Outerwear Apparel,,,
14.14,Manufacture of underwear,1110101013,5,Women's Lingerie,,,
14.19,Manufacture of other wearing apparel and accessories,11101015,4,Sporting & Athletic Apparel,,,
14.19,Manufacture of other wearing apparel and accessories,1110101510,5,Athletic Accessories,,,
14.19,Manufacture of other wearing apparel and accessories,1110101511,5,Sports Apparel,,,
14.19,Manufacture of other wearing apparel and accessories,11101017,4,Other Specialty Apparel Design,,,
14.19,Manufacture of other wearing apparel and accessories,1110101710,5,Bathing Suit,,,
14.19,Manufacture of other wearing apparel and accessories,1110101714,5,Other Apparel Accessories,,,
14.2,Manufacture of articles of fur,1110101711,5,Fur & Leather Apparel,,,
15.11,Tanning and dressing of leather; dressing and dyeing of fur,11101110,4,"Leather, Hide Tan & Finishing",,,
15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",11101012,4,Bags & Leather Goods Design,,,
15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",1110101210,5,Luggage,,,
15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",1110101211,5,Personal Leather Goods,,,
15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",1110101212,5,Women's Handbag,,,
15.2,Manufacture of footwear,11101013,4,Footwear Design,,,
15.2,Manufacture of footwear,1110101310,5,Athletic Footwear,,,
15.2,Manufacture of footwear,1110101311,5,Non-Athletic Footwear,,,
15.2,Manufacture of footwear,111010131110,6,House Slipper,,,
15.2,Manufacture of footwear,111010131111,6,Men's Footwear,,,
15.2,Manufacture of footwear,111010131112,6,Women's Footwear,,,
16,"Manufacture of wood and of products of wood and cork, straw and plaiting",111211,3,Home Improvement,,,
16,"Manufacture of wood and of products of wood and cork, straw and plaiting",11121111,4,Flooring Products,,,
16.1,Sawmilling and planing of wood,171111,3,Wood Building Materials,,,
16.1,Sawmilling and planing of wood,17111110,4,Structural Wood,,,
16.1,Sawmilling and planing of wood,1711111011,5,Sawmills,,,
16.1,Sawmilling and planing of wood,1711111013,5,Wood Preservation,,,
16.1,Sawmilling and planing of wood,17111111,4,Wood Millwork,,,
16.1,Sawmilling and planing of wood,1711111110,5,Cust Woodwork & Millwork,,,
16.1,Sawmilling and planing of wood,1711111111,5,"Cut Stock, Resaw Lumber & Plan",,,
16.21,Manufacture of veneer sheets and wood-based panels,17111112,4,Wood Plywood,,,
16.21,Manufacture of veneer sheets and wood-based panels,1711111210,5,Hardwood Veneer & Plywood,,,
16.21,Manufacture of veneer sheets and wood-based panels,1711111211,5,Reconstituted Wood Products,,,
16.21,Manufacture of veneer sheets and wood-based panels,1711111212,5,Softwood Veneer & Plywood,,,
16.22,Manufacture of assembled parquet floors,1112111112,5,Hardwood Flooring,,,
16.23,Manufacture of other builders' carpentry and joinery,11121012,4,Manufactured (Mobile) Home,,,
16.23,Manufacture of other builders' carpentry and joinery,11121118,4,Windows & Doors - Bldg Prods,,,
16.23,Manufacture of other builders' carpentry and joinery,1112111812,5,Wood Window Doors,,,
16.23,Manufacture of other builders' carpentry and joinery,1711111012,5,Trusses,,,
16.23,Manufacture of other builders' carpentry and joinery,17111216,4,Roofing Materials,,,
16.24,Manufacture of wooden containers,17121014,4,Wood Containers & Pallet,,,
16.29,"Manufacture of other products of wood, cork, straw and plaiting materials",1711111010,5,Engineered Wood (excl Truss),,,
16.29,"Manufacture of other products of wood, cork, straw and plaiting materials",17111113,4,Other Misc. Wood Products,,,
17.11,Manufacture of pulp,17131112,4,Pulp Mills,,,
17.12,Manufacture of paper and paperboard,171311,3,Paper,,,
17.12,Manufacture of paper and paperboard,17131110,4,Newsprint Mills,,,
17.12,Manufacture of paper and paperboard,17131111,4,Paper Mills,,,
17.2,Manufacture of articles of paper and paperboard,11121311,4,Die-Cut Paper & Paperboard,,,
17.21,Manufacture of corrugated paper and paperboard,17121012,4,Paper Containers & Packaging,,,
17.21,Manufacture of corrugated paper and paperboard,1712101210,5,Corrugated Packaging Matl,,,
17.21,Manufacture of corrugated paper and paperboard,1712101211,5,Merchandise Displays & Boxes,,,
17.21,Manufacture of corrugated paper and paperboard,1712101212,5,Molded Fiber Packaging Prods,,,
17.21,Manufacture of corrugated paper and paperboard,1712101213,5,Paper Bag,,,
17.21,Manufacture of corrugated paper and paperboard,1712101214,5,Paper Food Containers,,,
17.21,Manufacture of corrugated paper and paperboard,1712101215,5,Paperboard Packaging Materials,,,
17.22,Manufacture of household and sanitary goods and of toilet requisites,121014,3,Household Products,,,
17.22,Manufacture of household and sanitary goods and of toilet requisites,12101410,4,Home Products,,,
17.22,Manufacture of household and sanitary goods and of toilet requisites,12101411,4,Personal Care Products,,,
17.22,Manufacture of household and sanitary goods and of toilet requisites,1210141112,5,Sanitary Paper Products,,,
17.22,Manufacture of household and sanitary goods and of toilet requisites,1210141114,5,Other Personal Care Products,,,
17.22,Manufacture of household and sanitary goods and of toilet requisites,121015,3,Other Consumer Products,,,
17.23,Manufacture of paper stationery,11121312,4,Envelopes,,,
17.23,Manufacture of paper stationery,11121313,4,Stationery & Note Books,,,
17.24,Manufacture of wallpaper,11121110,4,Arch & Decorative Coatings,,,
17.29,Manufacture of other articles of paper and paperboard,171210,3,Containers & Packaging,,,
18.1,Printing and service activities related to printing,111413,3,Printing Services,,,
18.11,Printing of newspapers,11141310,4,"Newspaper, Book & Mag Printing",,,
18.12,Other printing,11141312,4,Other Commercial Printing,,,
18.14,Binding and related services,11141311,4,Printing Support,,,
19.2,Manufacture of refined petroleum products,131010,3,Integrated Oils,,,
19.2,Manufacture of refined petroleum products,13101212,4,Liquefied Natural Gas (LNG),,,
19.2,Manufacture of refined petroleum products,1310121210,5,LNG Liquefaction,,,
19.2,Manufacture of refined petroleum products,131012121010,6,LNG Liquefaction - Reg,,,
19.2,Manufacture of refined petroleum products,131012121011,6,LNG Liquefaction - Unreg,,,
19.2,Manufacture of refined petroleum products,1310121211,5,LNG Regasification,,,
19.2,Manufacture of refined petroleum products,131012121110,6,LNG Regasification - Reg,,,
19.2,Manufacture of refined petroleum products,131012121111,6,LNG Regasification - Unreg,,,
19.2,Manufacture of refined petroleum products,131014,3,Refining & Marketing,,,
19.2,Manufacture of refined petroleum products,13101410,4,Petroleum Refining,,,
19.2,Manufacture of refined petroleum products,1310141010,5,Light Refined Products,,,
19.2,Manufacture of refined petroleum products,131014101010,6,Gasoline,,,
19.2,Manufacture of refined petroleum products,131014101011,6,Liquefied Petroleum Gas,,,
19.2,Manufacture of refined petroleum products,131014101012,6,Naphtha,,,
19.2,Manufacture of refined petroleum products,131014101013,6,Other Refined Products,,,
19.2,Manufacture of refined petroleum products,1310141011,5,Medium Refined Products,,,
19.2,Manufacture of refined petroleum products,131014101110,6,Diesel,,,
